219.661,153.951,9.52899,28.3473,0,0.634634
219.734,154.011,9.44557,28.2123,0,0.680176
219.817,154.451,9.49797,27.9019,0,0.667643
359.528,166.992,25.2728,35.5794,0,0.756836
400.214,150.033,21.0958,58.7379,0,0.643555
360.202,168.183,25.3156,34.024,0,0.52243
370.756,176.652,32.4874,23.8514,13,0.700011
491.521,174.441,26.6609,25.4217,1,0.538184
491.496,174.263,26.617,25.7477,1,0.571615
76.5762,182.283,41.7539,54.333,56,0.576379
600.757,188.459,38.7831,38.9405,13,0.720661
359.495,166.977,25.3071,35.5607,0,0.748535
400.218,150.085,21.0874,58.8066,0,0.630859
370.655,176.627,32.6748,23.8716,13,0.731317
491.466,174.224,26.6608,25.8027,1,0.535339
76.715,182.341,41.5778,54.2235,56,0.539248
600.761,188.521,38.8367,38.8376,13,0.741234
219.513,153.788,9.82003,28.5328,0,0.503486
400.565,150.556,21.9167,58.5704,0,0.66536
342.582,165.797,31.3105,35.8207,0,0.500886
359.923,167.546,24.7741,34.2666,0,0.711428
369.785,176.666,33.4211,24.0415,13,0.528536
399.951,150.569,22.4165,58.2358,0,0.665407
439.812,147.474,29.2693,102.994,0,0.716106
370,176.53,33.4973,24.4311,13,0.633512
440.31,147.895,28.1521,103.119,0,0.814628
440.016,147.305,28.8785,103.369,0,0.891041
496.813,150.627,63.2592,105.125,0,0.919058
496.845,150.301,63.2175,105.209,0,0.917594
576.332,173.443,50.8322,56.6582,0,0.764178
576.529,174.765,51.2659,54.2506,0,0.666993
77.2335,182.11,40.9652,54.2354,56,0.681609
144.986,186.558,39.571,49.4599,56,0.581641
166.604,188.601,34.7197,44.5541,56,0.64308
576.844,176.091,50.0782,54.0833,0,0.576486
600.706,188.918,39.0257,39.524,13,0.850726
318.635,160.767,36.671,36.2075,58,0.500118
359.752,167.464,25.0345,34.4504,0,0.56977
369.72,176.696,33.4615,24.0737,13,0.606523
399.715,150.558,22.8817,58.2724,0,0.528248
491.458,174.058,27.4587,25.818,1,0.503656
369.966,176.511,33.6146,24.4057,13,0.634055
440.08,148.1,28.3706,102.69,0,0.622156
439.96,147.381,28.9328,103.262,0,0.868743
496.711,150.63,63.3851,105.134,0,0.870088
496.745,150.338,63.4776,105.134,0,0.89326
576.259,173.49,50.923,56.64,0,0.768279
77.2039,182.158,41.031,54.114,56,0.68034
600.607,188.885,39.1859,39.5831,13,0.806914
600.794,189.966,38.9656,37.6335,13,0.530568
559.508,217.736,38.3342,37.709,13,0.515911
559.498,217.606,38.3825,37.8386,13,0.595379
399.781,150.516,22.8385,58.3351,0,0.621532
439.755,147.559,29.3685,102.728,0,0.634094
440.168,147.873,28.2528,103.37,0,0.794345
439.958,147.297,28.9606,103.4,0,0.887572
496.726,150.561,63.3661,105.312,0,0.905642
496.744,150.223,63.4318,105.371,0,0.91148
576.25,173.476,50.9195,56.6019,0,0.770445
77.219,182.135,41.0008,54.096,56,0.67805
166.454,187.822,34.9185,45.4089,56,0.590605
576.755,176.048,50.2452,54.1695,0,0.545595
600.521,188.766,39.3296,39.8832,13,0.707002
496.613,150.566,63.4638,105.338,0,0.8934
496.469,150.432,63.7309,105.461,0,0.837666
